unique_key,created_date,closed_date,complaint_type,descriptor,incident_address,street_name,cross_street_1,cross_street_2,borough,incident_zip,latitude,longitude,resolution_description,drain_category,duration_hours
69790902,2026-07-21 10:42:00,2026-07-21 20:50:00,Sewer,Street Flooding (SJ),61-35 98 STREET,98 STREET,HORACE HARDING EXPY SR S,DRIVEWAY,QUEENS,11374,40.73439714395866,-73.86058913220121,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),10.133333333333333
69784539,2026-07-20 10:29:00,2026-07-20 11:45:00,Sewer,Street Flooding (SJ),41-10 47 STREET,47 STREET,SKILLMAN AVE,43 AVE,QUEENS,11104,40.74619926792375,-73.91714925490226,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.2666666666666666
69777032,2026-07-19 01:48:00,2026-07-19 12:25:00,Sewer,Street Flooding (SJ),146-26 HAWTHORNE AVENUE,HAWTHORNE AVENUE,BURLING ST,PARSONS BLVD,QUEENS,11355,40.754013312810805,-73.81530085955949,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),10.616666666666667
69765622,2026-07-18 22:21:00,2026-07-19 10:10:00,Sewer,Street Flooding (SJ),175-19 68 AVENUE,68 AVENUE,FRESH MEADOW LN,UTOPIA PKWY,QUEENS,11365,40.73359235140183,-73.79426707223482,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),11.816666666666666
69766788,2026-07-18 19:19:00,2026-07-18 20:10:00,Sewer,Street Flooding (SJ),,,,,BROOKLYN,11232,40.65542942447386,-74.00325805445905,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.85
69760904,2026-07-18 18:12:00,2026-07-18 19:15:00,Sewer,Street Flooding (SJ),1369 84 STREET,84 STREET,13 AVE,14 AVE,BROOKLYN,11228,40.61430926738149,-74.01116925149776,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.05
69766793,2026-07-18 17:00:00,2026-07-18 21:20:00,Sewer,Street Flooding (SJ),2300 5 AVENUE,5 AVENUE,HARLEM RIVER DRV NB EN E 139 ST,W 141 ST,MANHATTAN,10037,40.815510167325854,-73.93563231275274,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.333333333333333
69765624,2026-07-18 16:53:00,2026-07-18 18:05:00,Sewer,Street Flooding (SJ),161 SCHOLES STREET,SCHOLES STREET,GRAHAM AVE,HUMBOLDT ST,BROOKLYN,11206,40.70882045878851,-73.94312954290254,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,Hydraulic Capacity Surcharge,1.2
69765612,2026-07-18 16:22:00,2026-07-18 17:10:00,Sewer,Street Flooding (SJ),,,,,BROOKLYN,11217,40.67670745451643,-73.97710342267006,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.8
69762031,2026-07-18 14:47:00,2026-07-18 20:40:00,Sewer,Street Flooding (SJ),27 EAST  198 STREET,EAST  198 STREET,JEROME AVE,CRESTON AVE,BRONX,10468,40.87112708526664,-73.89259100178545,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),5.883333333333334
69759691,2026-07-18 14:43:00,2026-07-18 20:10:00,Sewer,Street Flooding (SJ),25-36 88 STREET,88 STREET,25 AVE,30 AVE,QUEENS,11369,40.76302588570337,-73.88104770198315,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),5.45
69763172,2026-07-18 14:12:00,2026-07-18 18:15:00,Sewer,Street Flooding (SJ),401 GRAND STREET,GRAND STREET,RODNEY ST,KEAP ST,BROOKLYN,11211,40.7117842189887,-73.9541214252435,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.05
69758514,2026-07-18 14:09:00,2026-07-18 21:30:00,Sewer,Street Flooding (SJ),66-06 QUEENS BOULEVARD,QUEENS BOULEVARD,66 ST,LAUREL HILL BLVD,QUEENS,11377,40.74073595237735,-73.89843432558979,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.35
69762034,2026-07-18 14:02:00,2026-07-18 17:40:00,Sewer,Street Flooding (SJ),928 82 STREET,82 STREET,7 AVE,10 AVE,BROOKLYN,11228,40.621054879499425,-74.01936175245181,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.6333333333333333
69766797,2026-07-18 14:00:00,2026-07-18 20:50:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11368,40.747629875730745,-73.86310220147196,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.833333333333333
69766798,2026-07-18 13:56:00,2026-07-18 19:50:00,Sewer,Street Flooding (SJ),711 SHEPHARD AVENUE,SHEPHARD AVENUE,NEW LOTS AVE,HEGEMAN AVE,BROOKLYN,11208,40.6668301891388,-73.87844006050624,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),5.9
69765631,2026-07-18 13:51:00,2026-07-18 17:50:00,Sewer,Street Flooding (SJ),8002 14 AVENUE,14 AVENUE,80 ST,81 ST,BROOKLYN,11228,40.61604422106397,-74.00828080508207,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.9833333333333334
69759695,2026-07-18 13:47:00,2026-07-18 21:00:00,Sewer,Street Flooding (SJ),51-16 IRELAND STREET,IRELAND STREET,51 AVE,KNEELAND AVE,QUEENS,11373,40.736618774281546,-73.8866193626403,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.216666666666667
69763181,2026-07-18 13:24:00,2026-07-18 17:20:00,Sewer,Street Flooding (SJ),51-25 VANKLEECK STREET,VANKLEECK STREET,CODWISE PL,KNEELAND AVE,QUEENS,11373,40.73642775347293,-73.88225709965161,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.933333333333333
69758517,2026-07-18 13:17:00,2026-07-18 16:30:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11373,40.736752343034745,-73.8776701929152,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.216666666666667
69763183,2026-07-18 13:16:00,2026-07-18 19:55:00,Sewer,Street Flooding (SJ),47-14 73 STREET,73 STREET,47 AVE,48 AVE,QUEENS,11377,40.7387829377848,-73.89080160273542,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.65
69765635,2026-07-18 13:07:00,2026-07-18 20:50:00,Sewer,Street Flooding (SJ),72-39 43 AVENUE,43 AVENUE,AMTRAK-CONNECTING RAIL LINE,74 ST,QUEENS,11377,40.742189714243246,-73.89136980846726,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.716666666666667
69759678,2026-07-18 13:05:00,2026-07-18 17:40:00,Sewer,Street Flooding (SJ),,,,,MANHATTAN,10011,40.74344858052988,-74.00354023666831,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.583333333333333
69765636,2026-07-18 13:01:00,2026-07-18 20:35:00,Sewer,Street Flooding (SJ),270 RICHARDS STREET,RICHARDS STREET,BEARD ST,DEAD END,BROOKLYN,11231,40.6735717145845,-74.01305378803349,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.566666666666666
69764442,2026-07-18 12:59:00,2026-07-18 18:30:00,Sewer,Street Flooding (SJ),45-57 DAVIS STREET,DAVIS STREET,FLUSHING LINE,DEAD END,QUEENS,11101,40.74425874322234,-73.94461500871317,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),5.516666666666667
69764427,2026-07-18 12:58:00,2026-07-18 13:30:00,Sewer,Street Flooding (SJ),61 GUERNSEY STREET,GUERNSEY STREET,NASSAU AVE,NORMAN AVE,BROOKLYN,11222,40.723608084310165,-73.95273152491903,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.5333333333333333
69762037,2026-07-18 12:58:00,2026-07-18 21:10:00,Sewer,Street Flooding (SJ),72-19 48 AVENUE,48 AVENUE,72 ST,73 ST,QUEENS,11377,40.738273422114666,-73.89187056160074,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.2
69759699,2026-07-18 12:57:00,2026-07-18 21:20:00,Sewer,Street Flooding (SJ),69-02 47 AVENUE,47 AVENUE,69 ST,LIRR MAIN LINE,QUEENS,11377,40.73905650803443,-73.89574850210755,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.383333333333333
69762038,2026-07-18 12:55:00,2026-07-18 21:40:00,Sewer,Street Flooding (SJ),48-24 66 STREET,66 STREET,48 AVE,49 AVE,QUEENS,11377,40.73818924668233,-73.89891814100203,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.75
69763189,2026-07-18 12:49:00,2026-07-18 15:30:00,Sewer,Street Flooding (SJ),540 ROCKAWAY AVENUE,ROCKAWAY AVENUE,SUTTER AVE,BLAKE AVE,BROOKLYN,11212,40.6668317770443,-73.91002049516406,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),2.683333333333333
69763191,2026-07-18 12:33:00,2026-07-18 19:30:00,Sewer,Street Flooding (SJ),34 NORTH    6 STREET,NORTH    6 STREET,UNNAMED ST,KENT AVE,BROOKLYN,11249,40.719955701423515,-73.96262236128253,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,Hydraulic Capacity Surcharge,6.95
69759681,2026-07-18 12:26:00,2026-07-18 16:40:00,Sewer,Street Flooding (SJ),1060 LAFAYETTE AVENUE,LAFAYETTE AVENUE,MALCOLM X BLVD,KOSSUTH PL,BROOKLYN,11221,40.692377274607296,-73.92953437061477,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.233333333333333
69762040,2026-07-18 12:18:00,2026-07-18 20:10:00,Sewer,Street Flooding (SJ),159 PIONEER STREET,PIONEER STREET,IMLAY ST,CONOVER ST,BROOKLYN,11231,40.67941547578501,-74.01178945796946,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.866666666666666
69758510,2026-07-18 12:14:00,2026-07-18 20:20:00,Sewer,Street Flooding (SJ),150 SULLIVAN STREET,SULLIVAN STREET,CONOVER ST,FERRIS ST,BROOKLYN,11231,40.67918189451157,-74.01422661720741,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.1
69749560,2026-07-17 07:47:00,2026-07-17 09:45:00,Sewer,Street Flooding (SJ),25-84 47 STREET,47 STREET,AMTRAK-CONNECTING RAIL LINE,28 AVE,QUEENS,11103,40.76324803190341,-73.90781095089865,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.9666666666666666
69742426,2026-07-16 08:20:00,2026-07-16 09:35:00,Sewer,Street Flooding (SJ),200 WEST   24 STREET,WEST   24 STREET,7 AVE,8 AVE,MANHATTAN,10011,40.74492248012736,-73.99556107294812,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.25
69724032,2026-07-15 21:43:00,2026-07-16 08:10:00,Sewer,Street Flooding (SJ),575 74 STREET,74 STREET,5 AVE,6 AVE,BROOKLYN,11209,40.629547042507276,-74.02061793656976,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),10.45
69732651,2026-07-15 06:19:00,2026-07-15 11:05:00,Sewer,Street Flooding (SJ),172-40 HIGHLAND AVENUE,HIGHLAND AVENUE,KINGSTON PL,AVA PL,QUEENS,11432,40.713366383800185,-73.78982412674061,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.766666666666667
69705057,2026-07-13 13:55:00,2026-07-13 14:45:00,Sewer,Street Flooding (SJ),140 8 AVENUE,8 AVENUE,MONTGOMERY PL,GARFIELD PL,BROOKLYN,11215,40.671694897338206,-73.97427527999729,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.8333333333333334
69708090,2026-07-13 13:42:00,2026-07-13 14:10:00,Sewer,Street Flooding (SJ),344 GRAHAM AVENUE,GRAHAM AVENUE,METROPOLITAN AVE,CONSELYEA ST,BROOKLYN,11211,40.71463722884382,-73.94439432999722,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.4666666666666667
69702097,2026-07-13 09:26:00,2026-07-13 11:25:00,Sewer,Street Flooding (SJ),52 STANHOPE STREET,STANHOPE STREET,EVERGREEN AVE,CENTRAL AVE,BROOKLYN,11221,40.69594266856505,-73.9250913285543,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.9833333333333334
69643149,2026-07-08 10:48:00,2026-07-08 12:00:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11375,40.70831791071146,-73.84665608865323,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.2
69649335,2026-07-08 08:29:00,2026-07-08 12:00:00,Sewer,Street Flooding (SJ),,,,,STATEN ISLAND,10306,40.5675511458259,-74.1337392914252,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.5166666666666666
69636745,2026-07-07 15:32:00,2026-07-07 19:10:00,Sewer,Street Flooding (SJ),93 AMADOR STREET,AMADOR STREET,KNOLLWOOD CT,BRIARWOOD RD,STATEN ISLAND,10303,40.62358427248867,-74.16486761332867,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.6333333333333333
69639945,2026-07-07 10:25:00,2026-07-07 14:55:00,Sewer,Street Flooding (SJ),146 EAST  116 STREET,EAST  116 STREET,LEXINGTON AVE,3 AVE,MANHATTAN,10029,40.79847943442469,-73.9413048407629,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.5
69618186,2026-07-06 14:33:00,2026-07-06 19:15:00,Sewer,Street Flooding (SJ),785 EAST   52 STREET,EAST   52 STREET,AVENUE D,FOSTER AVE,BROOKLYN,11203,40.64108694158011,-73.92727883928872,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.7
69621265,2026-07-06 14:22:00,2026-07-06 18:55:00,Sewer,Street Flooding (SJ),FARRAGUT ROAD,FARRAGUT ROAD,BROOKLYN AVENUE,EAST   35 STREET,BROOKLYN,11210,,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.55
69624336,2026-07-06 14:11:00,2026-07-06 20:15:00,Sewer,Street Flooding (SJ),95 EBONY STREET,EBONY STREET,ILION PL,BISHOP ST,STATEN ISLAND,10306,40.57326373986264,-74.12587837545473,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.066666666666666
69624338,2026-07-06 14:00:00,2026-07-06 22:30:00,Sewer,Street Flooding (SJ),55 GALLOWAY AVENUE,GALLOWAY AVENUE,DEAD END,CRYSTAL AVE,STATEN ISLAND,10302,40.622773824863394,-74.14062943977525,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.5
69621269,2026-07-06 13:02:00,2026-07-06 13:50:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11432,40.71302066718798,-73.79140154875994,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.8
69621273,2026-07-06 12:34:00,2026-07-06 21:00:00,Sewer,Street Flooding (SJ),111 GOODALL STREET,GOODALL STREET,BEND,TENNYSON DR,STATEN ISLAND,10308,40.53809370886964,-74.14513188298248,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.433333333333334
69621275,2026-07-06 11:58:00,2026-07-06 18:00:00,Sewer,Street Flooding (SJ),8524 10 AVENUE,10 AVENUE,85 ST,86 ST,BROOKLYN,11228,40.61846915759523,-74.02010662616047,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.033333333333333
69627356,2026-07-06 11:54:00,2026-07-06 17:55:00,Sewer,Street Flooding (SJ),9 CLARKSON AVENUE,CLARKSON AVENUE,FLATBUSH AVE,BEDFORD AVE,BROOKLYN,11226,40.654892420597356,-73.95900074056499,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.016666666666667
69627355,2026-07-06 11:54:00,2026-07-06 21:45:00,Sewer,Street Flooding (SJ),410 KING STREET,KING STREET,RETFORD AVE,PRESTON AVE,STATEN ISLAND,10312,40.534075822371875,-74.15723955131409,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),9.85
69621276,2026-07-06 11:22:00,2026-07-06 19:30:00,Sewer,Street Flooding (SJ),394 ADELAIDE AVENUE,ADELAIDE AVENUE,LYNN ST,AMHERST AVE,STATEN ISLAND,10306,40.55744048198816,-74.11757501349359,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.133333333333333
69621255,2026-07-06 10:57:00,2026-07-06 11:16:00,Sewer,Street Flooding (SJ),4601 2 AVENUE,2 AVENUE,46 ST,47 ST,BROOKLYN,11232,40.65124548688174,-74.01467474096316,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.31666666666666665
69622774,2026-07-06 10:49:00,2026-07-06 14:10:00,Sewer,Street Flooding (SJ),373 WYTHE AVENUE,WYTHE AVENUE,S 4 ST,S 5 ST,BROOKLYN,11249,40.712175374877106,-73.96607872946683,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.35
